ID,Surname,First Name,Department,Staff or Student,Date of first journey,Destination,Estimated CO2eq emission (please enter in kg),Travel mode
448,Nesbitt,Jacalyn,Mathematics and Statistics,Staff,2020-10-01,Monaco,158.0826528,Flight
1913,Rybka,Donald,Meteorology,Staff,2020-10-01,Oslo,12.54779905,Train
4663,Roy,Paulette,Computer Science,Student,2020-10-01,Madrid,191.3733168,Flight
4346,Glass,Stephanie,Meteorology,Staff,2020-10-01,Brussels,52.1993256,Flight
3689,Martinez,Georgia,Meteorology,Staff,2020-10-02,Amsterdam,55.1004198,Flight
4738,Ackerman,Paul,Mathematics and Statistics,Staff,2020-10-02,Lisbon,240.2479194,Flight
177,Walker,Stacey,Meteorology,Student,2020-10-02,Brussels,3.95337905,Train
2332,Bourne,Marta,Meteorology,Staff,2020-10-02,Amsterdam,55.1004198,Flight
3363,Feather,James,Meteorology,Student,2020-10-02,Warsaw,9.58867825,Train
4467,Bouldin,Betty,Meteorology,Staff,2020-10-02,Vaduz,141.8297316,Flight
742,Uong,Susan,Mathematics and Statistics,Staff,2020-10-03,Copenhagen,147.5835576,Flight
3282,Bethea,Linda,Meteorology,Student,2020-10-03,Accra,1494,Flight
4880,Roy,Paulette,Computer Science,Student,2020-10-03,Zurich,119.0377572,Flight
3355,Nye,Marianne,Mathematics and Statistics,Staff,2020-10-04,Jakarta,3544,Flight
459,Wing,Kenny,Meteorology,Staff,2020-10-04,Rome,10.31333905,Train
4390,Torres,Edward,Meteorology,Student,2020-10-04,Stockholm,221.0140122,Flight
4000,Helgason,Debbie,Computer Science,Student,2020-10-04,Barcelona,8.94938185,Train
72,Wint,Robert,Meteorology,Student,2020-10-04,Warsaw,221.6075208,Flight
3858,Gunia,Linda,Mathematics and Statistics,Student,2020-10-04,Berlin,7.68193905,Train
3659,Droke,Marcos,Mathematics and Statistics,Staff,2020-10-04,Amsterdam,4.91227905,Train
3027,Mcnichols,Emma,Mathematics and Statistics,Staff,2020-10-04,Andorra La Vella,168.8791902,Flight
3614,Relyea,Robert,Meteorology,Staff,2020-10-04,Milan,7.89918565,Train
955,Prince,Kristen,Meteorology,Student,2020-10-05,Jakarta,3544,Flight
4520,Brisbon,Sherri,Mathematics and Statistics,Student,2020-10-05,Oslo,182.4827694,Flight
532,Mills,Bradley,Meteorology,Staff,2020-10-05,Prague,157.2156132,Flight
3431,Oneil,Karen,Mathematics and Statistics,Staff,2020-10-05,Budapest,10.00140665,Train
